pitch_name,whiff_percent,k_percent
4-Seamer,25.3,28.1
4-Seamer,23.6,22.6
Sinker,24.4,23.3
Cutter,31.7,26
4-Seamer,17.3,15
Sinker,12.7,8.1
4-Seamer,19.7,20.2
4-Seamer,28.7,34.2
4-Seamer,28.4,31
4-Seamer,32.7,39.2
4-Seamer,29.2,32.2
4-Seamer,15.1,15.3
4-Seamer,27.7,25.1
4-Seamer,26.1,25.7
4-Seamer,18.8,15.6
4-Seamer,25.7,24.5
4-Seamer,15.2,12.4
Sinker,12.5,17.5
4-Seamer,24.2,21.7
Sinker,12.5,17.8
Cutter,15.9,18.4
Sinker,11.6,9.2
4-Seamer,17.5,12.6
4-Seamer,18.7,21.6
4-Seamer,15.4,16
Sinker,13.4,10.2
Slider,48.8,45.5
Sinker,16,16.3
4-Seamer,18.2,11
Slider,41.7,36.5
Slider,36.7,33.3
4-Seamer,25.6,24.7
Sinker,14.3,21
Changeup,26.9,25.6
Changeup,23,18.3
4-Seamer,19,20.8
4-Seamer,24.1,23.8
Sinker,11.6,16.9
4-Seamer,13.4,10
Sinker,18,14.7
4-Seamer,15.8,15.6
Splitter,46.3,40.7
Sinker,8.6,6.6
4-Seamer,15.8,23.6
4-Seamer,14.1,11.6
Slider,25,20.9
4-Seamer,16.5,9.3
Changeup,38.9,30.2
4-Seamer,24.6,24.7
4-Seamer,30.4,32.3
4-Seamer,16.3,14.3
Sinker,23.5,30
4-Seamer,26.2,26.3
Curveball,34.1,32.1
Changeup,35.6,30.8
4-Seamer,30.4,34
4-Seamer,19.8,25.8
4-Seamer,12.3,10.1
4-Seamer,19.9,26.6
Sinker,11.5,19.6
4-Seamer,25.3,24.2
Cutter,23.3,16.6
Slider,35.9,33.8
Curveball,39.9,38.1
Slider,26.3,18.8
Slider,39.7,29.9
Cutter,24.8,24.2
Sinker,14.3,13.2
Sinker,10.8,0.7
Cutter,26.5,19.9
Slider,36.1,35.8
Changeup,38,30.5
4-Seamer,23.5,27.2
4-Seamer,14.9,12.7
4-Seamer,20,16
4-Seamer,15,14.1
4-Seamer,21.2,15.4
4-Seamer,13.1,10.9
Slider,29.1,19.7
4-Seamer,14.7,5.4
Curveball,37.8,36.3
Slider,39.4,35.6
Sinker,12.2,11.7
Sinker,15,16.6
Curveball,41,43.4
4-Seamer,12.5,9
Sinker,8.7,18.1
Slider,39.6,34.7
4-Seamer,18.5,16.7
Slider,33.5,29.9
Slider,40.4,40.6
Sinker,16.1,11.2
4-Seamer,26,27.5
4-Seamer,27.8,24.6
4-Seamer,26.6,28.9
Slider,38.1,29.8
4-Seamer,13.8,15.6
4-Seamer,16.1,15.6
Sinker,11.5,17
4-Seamer,18.6,24.3
4-Seamer,22.3,25
Sinker,11.2,28.1
Splitter,28.3,20.3
Sinker,20.7,16.7
Curveball,24.1,24.1
4-Seamer,22.7,32.8
Slider,31.3,26.3
Sinker,19,14.7
Curveball,17,13.2
Sinker,7.4,6.6
Cutter,26.7,11.8
4-Seamer,19.7,11.9
4-Seamer,23.5,25.4
Changeup,34.5,23.1
Slider,28.9,24.8
4-Seamer,22.9,26.3
Changeup,37.3,29.5
4-Seamer,18.3,13.6
Changeup,32.6,18.2
Sinker,9.5,25.8
4-Seamer,9.5,6.8
Sinker,29.4,23.7
Cutter,25.3,13
Changeup,39.6,28.2
Cutter,23.3,19.1
Slider,37.3,34.6
Curveball,24.6,25.6
4-Seamer,22.3,18.6
4-Seamer,22.7,21.1
Splitter,28.3,28.1
4-Seamer,19.9,18.9
Cutter,13.3,8.7
4-Seamer,26,27.6
Slider,39.4,31.7
Curveball,33.9,38.1
4-Seamer,21.9,20.8
Slider,33,23.2
4-Seamer,22,34.7
4-Seamer,22.1,21.8
Slider,41.2,35.5
Slider,35.1,28.2
Slider,22.6,15.3
4-Seamer,18.5,17.7
Splitter,31.5,36.6
4-Seamer,25.9,21.3
Slider,21.6,24.6
4-Seamer,17,16.4
4-Seamer,21.3,18.2
Sinker,12.6,10.7
Curveball,21.5,26.4
Slider,23.4,19
Curveball,27.3,30
Splitter,32,33.3
4-Seamer,14.6,12.5
4-Seamer,18.6,20.2
Changeup,31,32.8
4-Seamer,19.4,15.1
Slider,33.7,29.4
Changeup,26.1,21.8
Slider,36.7,30.3
Slider,38.7,35.6
Slider,24.9,16.9
Slider,25.4,28.8
Slider,23.5,24.6
Sinker,11.8,6.8
4-Seamer,22.6,17.9
Slider,45.2,43.6
Slider,24.3,25
Sinker,23.4,21.6
4-Seamer,19.7,26.1
Splitter,24.4,16.5
